name,address,link,type of education,n_students,neighborhood,type
Zuiderpark College,Montessoriweg 26,/middelbare-scholen/rotterdam/1674/zuiderpark-college/,Samenwerking Voortgezet,548.0,Rotterdam,Middle School
Young Rotterdam vmbo,Maashavenweg 14,/middelbare-scholen/rotterdam/1675/young-rotterdam-vmbo/,Algemeen bijzonder,449.0,Rotterdam,Middle School
Veenoord SCHOOL FOR SPORT&LIFESTYLE,Veenoord 15,/middelbare-scholen/rotterdam/1683/veenoord-school-for-sport-en-lifestyle/,Overige Voortgezet,253.0,Rotterdam,Middle School
Vak College Zuidrand,Beumershoek 3,/middelbare-scholen/rotterdam/1684/vak-college-zuidrand/,Overige Voortgezet,303.0,Rotterdam,Middle School
Montfort College,Montessoriweg 14,/middelbare-scholen/rotterdam/1685/montfort-college/,Overige Voortgezet,862.0,Rotterdam,Middle School
PT010 - Theater en Dans,Palmentuin 77 -79,/middelbare-scholen/rotterdam/1688/pt010-theater-en-dans/,Samenwerking Voortgezet,136.0,Rotterdam,Middle School
Het Praktijkcollege Charlois,Talingstraat 170,/middelbare-scholen/rotterdam/1692/het-praktijkcollege-charlois/,Openbaar Voortgezet,197.0,Rotterdam,Middle School
Het Praktijkcollege Zuidwijk,Schere 47,/middelbare-scholen/rotterdam/1694/het-praktijkcollege-zuidwijk/,Samenwerking Voortgezet,206.0,Rotterdam,Middle School
Het Praktijkcollege Centrum,Schietbaanstraat 26,/middelbare-scholen/rotterdam/1696/het-praktijkcollege-centrum/,Samenwerking Voortgezet,216.0,Rotterdam,Middle School
De Passie Rotterdam,Ulaanbaatarplein 6,/middelbare-scholen/rotterdam/1737/de-passie-rotterdam/,Prot. christelijk,758.0,Rotterdam,Middle School
Auris College Rotterdam,Malmöpad 60,/middelbare-scholen/rotterdam/23921/auris-college-rotterdam/,Algemeen bijzonder,88.0,Rotterdam,Middle School
Rotterdams Vakcollege de Hef,Slaghekstraat 221,/middelbare-scholen/rotterdam/2621/rotterdams-vakcollege-de-hef/,Openbaar Voortgezet,739.0,Rotterdam,Middle School
Olympia College,Olympiaweg 395,/middelbare-scholen/rotterdam/2622/olympia-college/,Openbaar Voortgezet,406.0,Rotterdam,Middle School
Hugo de Groot,Nachtegaalplein 53-55,/middelbare-scholen/rotterdam/2624/hugo-de-groot/,Openbaar Voortgezet,809.0,Rotterdam,Middle School
Libanon Lyceum,Mecklenburglaan 49,/middelbare-scholen/rotterdam/2626/libanon-lyceum/,Openbaar Voortgezet,1161.0,Rotterdam,Middle School
"Thorbecke Voortgezet Onderwijs, locatie Prinsenlaan",Bezoekadres: Prinsenlaan 82,/middelbare-scholen/rotterdam/2628/thorbecke-voortgezet-onderwijs-locatie-prinsenlaan/,Openbaar Voortgezet,913.0,Rotterdam,Middle School
Thorbecke vmbo voor sport & dans,Prins Alexanderlaan 151,/middelbare-scholen/rotterdam/2629/thorbecke-vmbo-voor-sport-en-dans/,Openbaar Voortgezet,377.0,Rotterdam,Middle School
Wolfert Tweetalig,Bentincklaan 280,/middelbare-scholen/rotterdam/2633/wolfert-tweetalig/,Openbaar Voortgezet,1455.0,Rotterdam,Middle School
Wolfert Dalton,Argonautenweg 55,/middelbare-scholen/rotterdam/2634/wolfert-dalton/,Openbaar Voortgezet,484.0,Rotterdam,Middle School
Wolfert ISK,Walenburgerweg 128,/middelbare-scholen/rotterdam/2636/wolfert-isk/,Openbaar Voortgezet,155.0,Rotterdam,Middle School
Wolfert College,Walenburgerweg 130,/middelbare-scholen/rotterdam/2637/wolfert-college/,Openbaar Voortgezet,626.0,Rotterdam,Middle School
Wolfert RISS,Bentincklaan 294,/middelbare-scholen/rotterdam/3323/wolfert-riss/,Openbaar Voortgezet,252.0,Rotterdam,Middle School
Wolfert RISS Senior Campus,Schimmelpenninckstraat 23,/middelbare-scholen/rotterdam/24552/wolfert-riss-senior-campus/,Openbaar Voortgezet,139.0,Rotterdam,Middle School
Erasmiaans Gymnasium,Wytemaweg 25,/middelbare-scholen/rotterdam/2643/erasmiaans-gymnasium/,Openbaar Voortgezet,1106.0,Rotterdam,Middle School
