,name,address,link,details,n_students,neighborhood,type
5295,Omnis Kindcentrum De Schakel,Vanderbijlparkstraat 3,/basisscholen/oudelande/22980/omnis-kindcentrum-de-schakel/,OpenbaarBasisonderwijs45 leerlingen,45,Oudelande,Basic School
5296,Christelijk Basisonderwijs De Walikker,Jan Schotanuswei 44 A,/basisscholen/oudemirdum/10046/christelijk-basisonderwijs-de-walikker/,Prot. christelijkBasisonderwijs92 leerlingen,92,Oudemirdum,Basic School
5297,Basisschool De Klinkert,Burgemeester van den Drieslaan 20,/basisscholen/oudenbosch/8902/basisschool-de-klinkert/,KatholiekBasisonderwijs285 leerlingen,285,Oudenbosch,Basic School
5298,Rooms Katholieke Basisschool De Bukehof,Olmenstraat 1,/basisscholen/oudenbosch/5015/rooms-katholieke-basisschool-de-bukehof/,KatholiekBasisonderwijs193 leerlingen,193,Oudenbosch,Basic School
5299,Sterrenschool De Schittering,St Annastraat 28 -34,/basisscholen/oudenbosch/5017/sterrenschool-de-schittering/,KatholiekBasisonderwijs255 leerlingen,255,Oudenbosch,Basic School
5300,Kindcentrum De Regenboog,Ruige Hoek 10,/basisscholen/oudenbosch/6336/kindcentrum-de-regenboog/,OpenbaarBasisonderwijs235 leerlingen,235,Oudenbosch,Basic School
5301,Openbare Basisschool De Hoorn,Molenweg 14,/basisscholen/oudenhoorn/6686/openbare-basisschool-de-hoorn/,OpenbaarBasisonderwijs57 leerlingen,57,Oudenhoorn,Basic School
5302,Amstelschool,Reijgershof 4,/basisscholen/ouderkerk-aan-de-amstel/5190/amstelschool/,Prot. christelijkBasisonderwijs201 leerlingen,201,Ouderkerk aan de Amstel,Basic School
5303,Katholieke Basisschool Het Kofschip,Turfstekerspad 1,/basisscholen/ouderkerk-aan-de-amstel/5191/katholieke-basisschool-het-kofschip/,KatholiekBasisonderwijs180 leerlingen,180,Ouderkerk aan de Amstel,Basic School
5304,Openbare Basisschool Jan Hekman,Schoolweg 7,/basisscholen/ouderkerk-aan-de-amstel/6782/openbare-basisschool-jan-hekman/,OpenbaarBasisonderwijs432 leerlingen,432,Ouderkerk aan de Amstel,Basic School
5305,obs De Schakel,Kerkweg 82,/basisscholen/ouderkerk-aan-den-ijssel/10093/obs-de-schakel/,OpenbaarBasisonderwijs176 leerlingen,176,Ouderkerk aan den IJssel,Basic School
5306,Koningin Wilhelmina School,Willem de Zwijgerstraat 1,/basisscholen/ouderkerk-aan-den-ijssel/10509/koningin-wilhelmina-school/,Prot. christelijkBasisonderwijs239 leerlingen,239,Ouderkerk aan den IJssel,Basic School
5307,PCBS. Koningin Juliana,Hoge Molenwerf 1,/basisscholen/ouderkerk-aan-den-ijssel/6562/pcbs-koningin-juliana/,Prot. christelijkBasisonderwijs84 leerlingen,84,Ouderkerk aan den IJssel,Basic School
5308,De Bruinvis,Trompstraat 1,/basisscholen/oudeschild/26759/de-bruinvis/,OpenbaarBasisonderwijs87 leerlingen,87,Oudeschild,Basic School
5309,Skoatterwiis,Van Leeuwenhoekweg 8,/basisscholen/oudeschoot/6748/skoatterwiis/,OpenbaarBasisonderwijs51 leerlingen,51,Oudeschoot,Basic School
5310,Basisschool Het Startblok,Van Halenstraat 1,/basisscholen/oude-tonge/10400/basisschool-het-startblok/,OpenbaarBasisonderwijs144 leerlingen,144,Oude-Tonge,Basic School
5311,Basisschool De Bron,Melkweg 75,/basisscholen/oude-tonge/24294/basisschool-de-bron/,Prot. christelijkBasisonderwijs80 leerlingen,80,Oude-Tonge,Basic School
5312,Rooms Katholieke Basisschool de Nobelaer,Julianastraat 13,/basisscholen/oude-tonge/11818/rooms-katholieke-basisschool-de-nobelaer/,KatholiekBasisonderwijs166 leerlingen,166,Oude-Tonge,Basic School
5313,Jenaplansch Klavertje 4,De Cope 26,/basisscholen/oudewater/8267/jenaplansch-klavertje-4/,Algemeen bijzonderBasisonderwijs184 leerlingen,184,Oudewater,Basic School
5314,Basisschool St. Jozef,De Cope 28,/basisscholen/oudewater/5416/basisschool-st-jozef/,KatholiekBasisonderwijs229 leerlingen,229,Oudewater,Basic School
5315,Mariaschool RK Basisonderwijs,Nieuwstraat 9 -11,/basisscholen/oudewater/5417/mariaschool-rk-basisonderwijs/,KatholiekBasisonderwijs209 leerlingen,209,Oudewater,Basic School
5316,Immanuelschool,Kluwen 5,/basisscholen/oudewater/5849/immanuelschool/,Prot. christelijkBasisonderwijs154 leerlingen,154,Oudewater,Basic School
5317,OBS De Schakels-HBOO,Kluwen 3,/basisscholen/oudewater/10099/obs-de-schakels-hboo/,OpenbaarBasisonderwijs75 leerlingen,75,Oudewater,Basic School
5318,Christelijke school voor speciaal Daltonbasisonderwijs De Leilinde,Kasteellaan 41,/basisscholen/oudheusden/5376/christelijke-school-voor-speciaal-daltonbasisonderwijs-de-leilinde/,Prot. christelijkSpeciaal basisonderwijs74 leerlingenDalton,74,Oudheusden,Basic School
